Date,Total System Usage,Area(This is for all Oahu,Energy Type,Energy Type Usage
1/6/2014 12:00:00,891.9,Total_System_Generation,WindFarm,15.8
1/6/2014 12:00:00,891.9,Total_System_Generation,Solar,101.9
1/6/2014 12:00:00,891.9,Total_System_Generation,Waste2Energy,45.8
1/6/2014 12:00:00,891.9,Total_System_Generation,Fossil_Fuel,548.5
1/7/2014 12:00:00,804.2,Total_System_Generation,Coal,180.1
1/7/2014 12:00:00,804.2,Total_System_Generation,BioFuel,0
1/7/2014 12:00:00,804.2,Total_System_Generation,WindFarm,12
1/7/2014 12:00:00,804.2,Total_System_Generation,Solar,7.9
1/7/2014 12:00:00,804.2,Total_System_Generation,Waste2Energy,45.4
1/7/2014 12:00:00,804.2,Total_System_Generation,Fossil_Fuel,558.8
1/8/2014 12:00:00,853.5,Total_System_Generation,Coal,180.2
1/8/2014 12:00:00,853.5,Total_System_Generation,BioFuel,0
1/8/2014 12:00:00,853.5,Total_System_Generation,WindFarm,23.2
1/8/2014 12:00:00,853.5,Total_System_Generation,Solar,8
1/8/2014 12:00:00,853.5,Total_System_Generation,Waste2Energy,43.3
1/8/2014 12:00:00,853.5,Total_System_Generation,Fossil_Fuel,598.8
1/9/2014 12:00:00,827.3,Total_System_Generation,Coal,179.8
1/9/2014 12:00:00,827.3,Total_System_Generation,BioFuel,0
1/9/2014 12:00:00,827.3,Total_System_Generation,WindFarm,4.3
1/9/2014 12:00:00,827.3,Total_System_Generation,Solar,8.3
1/9/2014 12:00:00,827.3,Total_System_Generation,Waste2Energy,44.2
1/9/2014 12:00:00,827.3,Total_System_Generation,Fossil_Fuel,590.7
1/10/2014 12:00:00,865.4,Total_System_Generation,Coal,180.4
1/10/2014 12:00:00,865.4,Total_System_Generation,BioFuel,0
1/10/2014 12:00:00,865.4,Total_System_Generation,WindFarm,15.6
1/10/2014 12:00:00,865.4,Total_System_Generation,Solar,7.9
1/10/2014 12:00:00,865.4,Total_System_Generation,Waste2Energy,43.1
1/10/2014 12:00:00,865.4,Total_System_Generation,Fossil_Fuel,618.4
1/11/2014 12:00:00,873.3,Total_System_Generation,Coal,180.4
1/11/2014 12:00:00,873.3,Total_System_Generation,BioFuel,0
